sheet_name,column_name,missing_count,missing_percent
User Feedback,date,0,0.0
User Feedback,site,0,0.0
User Feedback,user_team,0,0.0
User Feedback,feedback_type,0,0.0
User Feedback,pain_point_request,0,0.0
User Feedback,priority,2,5.26
User Feedback,status,21,55.26
Deployment Event Log,site,0,0.0
Deployment Event Log,date,0,0.0
Deployment Event Log,event_type,0,0.0
Deployment Event Log,description,0,0.0
Deployment Event Log,days_impact,6,16.67
Deployment Event Log,cost_impact,6,16.67
Financial Records,site,1,2.78
Financial Records,category,0,0.0
Financial Records,budgeted,1,2.78
Financial Records,actual,2,5.56
Adoption Metrics,site,0,0.0
Adoption Metrics,week,0,0.0
Adoption Metrics,areas_systems_deployed,0,0.0
Adoption Metrics,users_trained,0,0.0
Adoption Metrics,users_blocked,4,14.81
Adoption Metrics,change_orders_processed,2,7.41
Adoption Metrics,incidents_reported,1,3.7
Feature Prototypes,feature_name,0,0.0
Feature Prototypes,requested_by,0,0.0
Feature Prototypes,site,0,0.0
Feature Prototypes,status,0,0.0
Feature Prototypes,implemented,0,0.0
Feature Prototypes,notes,0,0.0
Technical Survey,area,0,0.0
Technical Survey,finding,0,0.0
Technical Survey,engineer,0,0.0
Technical Survey,date,0,0.0
Stakeholder Contacts,name,3,11.11
Stakeholder Contacts,title,3,11.11
Stakeholder Contacts,team_organization,3,11.11
Stakeholder Contacts,preferred_contact,3,11.11
Stakeholder Contacts,availability_notes,3,11.11
